DATE	PAYS_BAS	ALLEMAGNE	GRECE	FRANCE	ESPAGNE	AUTRICHE	BELGIQUE	FINLANDE	IRLANDE	ITALIE
01/04/2020	3,416303	3,796611	15,516039	8,691856	14,610293	5,164512	5,343278	6,93555	5,388541	6,64123
01/03/2020	2,931095	3,659348	14,453242	7,612909	14,188185	4,692411	5,062292	6,804861	5,260816	8,193826
01/02/2020	2,941571	3,515742	15,878685	7,619841	13,665594	4,524675	4,981521	6,716053	4,8215	9,043869
01/01/2020	3,0345	3,38691	16,179136	7,962781	13,992432	4,376287	5,05106	6,685806	4,843032	9,393704
01/12/2019	3,233066	3,283988	16,410502	8,169237	13,711831	4,238533	5,243929	6,706553	4,704441	9,435086
01/11/2019	3,479612	3,208002	16,633333	8,203844	13,815741	4,247845	5,22142	6,752937	4,659045	9,43092
01/10/2019	3,470659	3,150319	16,712407	8,274821	13,970363	4,341777	5,24012	6,786668	4,709382	9,516218
01/09/2019	3,469669	3,103238	16,876621	8,377345	14,093485	4,472852	5,215096	6,802323	4,852092	9,727587
01/08/2019	3,464567	3,066424	16,94737	8,508167	14,269703	4,480682	5,227707	6,810977	4,97558	9,600606
01/07/2019	3,379591	3,046935	17,101388	8,52179	14,271211	4,462996	5,293317	6,789727	5,074531	9,916205
01/06/2019	3,376735	3,051592	17,14638	8,48735	14,204662	4,386253	5,407093	6,743487	5,13176	9,808386
01/05/2019	3,266069	3,08002	17,294736	8,454738	14,156288	4,471257	5,464895	6,724498	5,129567	10,010999
01/04/2019	3,253662	3,124497	17,546272	8,493016	14,158703	4,632692	5,501339	6,736019	5,183539	10,253415
01/03/2019	3,333622	3,17599	18,081877	8,598964	14,175034	4,767049	5,495095	6,739043	4,988696	10,350302
01/02/2019	3,381267	3,22561	18,414292	8,655491	14,216295	4,769942	5,536054	6,720744	5,019143	10,431526
01/01/2019	3,56587	3,267373	18,517766	8,717928	14,296728	4,82141	5,633898	6,705994	5,162436	10,327987
01/12/2018	3,572673	3,300859	18,411365	8,779088	14,384824	4,755014	5,725953	6,749085	5,468415	10,331738
01/11/2018	3,543121	3,325822	18,537424	8,803035	14,499724	4,755238	5,772794	6,856208	5,63	10,518497
01/10/2018	3,671115	3,346656	18,557017	8,885521	14,643498	4,890149	5,754234	6,973902	5,68647	10,719979
01/09/2018	3,737228	3,364815	18,837501	8,979689	14,773882	4,954337	5,642163	7,095941	5,672625	10,34789
01/08/2018	3,85255	3,376525	19,041559	9,022986	14,897917	4,859346	5,731557	7,236666	5,676314	10,211849
01/07/2018	3,81512	3,385421	19,153444	9,037578	15,004383	4,896304	5,947332	7,361356	5,696698	10,391644
01/06/2018	3,882697	3,393788	19,329717	9,044974	15,174755	4,836732	6,141276	7,452844	5,763487	10,795634
01/05/2018	3,866022	3,406539	19,487568	9,100668	15,422012	4,670004	6,308649	7,552229	5,839863	10,578398
01/04/2018	3,912676	3,429575	19,820636	9,143066	15,667542	4,704583	6,328914	7,686589	5,877267	10,957536
01/03/2018	3,939472	3,465128	20,044436	9,173331	15,946349	4,851209	6,130514	7,846924	5,906419	10,912415
01/02/2018	4,0565	3,507627	20,493146	9,192864	16,210827	5,035232	6,061388	8,017926	5,955903	10,795886
01/01/2018	4,191989	3,551427	20,433502	9,15961	16,398623	5,289291	6,077161	8,183073	6,026501	10,984596
01/12/2017	4,365598	3,593407	20,801487	9,040668	16,542524	5,54788	6,212194	8,30417	6,186101	10,886525
01/11/2017	4,382697	3,631141	20,94207	9,042401	16,626441	5,497395	6,399186	8,360963	6,328139	10,985674
01/10/2017	4,468002	3,661218	20,990802	9,182259	16,654748	5,309218	6,674544	8,396811	6,467178	11,059187
01/09/2017	4,659888	3,686813	20,932542	9,373083	16,696762	5,23589	6,941672	8,429014	6,615201	11,206205
01/08/2017	4,710738	3,709885	20,913257	9,566461	16,751861	5,3973	7,158391	8,465862	6,63307	11,378219
01/07/2017	4,830789	3,734592	21,143761	9,614684	16,87557	5,401177	7,18795	8,529818	6,649744	11,420717
